KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
41569;Kit de Caliper Chevrolet Trail Blazer 02/05, Pastilla D882 7759;1 Rueda;45,62mm;;;4,20;9,33;10,50;KIT DE CALIPER IMPORTADO;;
04479-60070;Kit de Caliper Toyota: Machito 24V. Macho Chassis Largo, V6 02/11 Pastilla 7639 ;2 Ruedas;43.00mm;;;7,80;17,33;19,50;KIT DE CALIPER IMPORTADO;;
4109 (59176);Kit de Caliper Chevrolet C-10/30, Impala, Malibù, Jeep Grand Wagoneer.;1 Rueda;74,61mm;;;2,40;5,33;6,00;KIT DE CALIPER IMPORTADO;;
4132 (76390);Kit de Caliper Ford Galaxie 500, LTD, LTD II, AMC Hornet, Jeep CJ5, CJ7.;1 Rueda;"3 1/8""mm";;;2,10;4,67;5,25;KIT DE CALIPER IMPORTADO;;
41401 (66220);Kit de Caliper Ford F-350/E-250/350 91/94, Pastilla D450 7330 (7054);2 Ruedas;55,24mm;;;4,20;9,33;10,50;KIT DE CALIPER IMPORTADO;;
4165 (88562);Kit de Caliper Ford F-350/Econoline E250/350 76/91, Pastilla D120 7054;1 Rueda;55,14mm;;;3,60;8,00;9,00;KIT DE CALIPER IMPORTADO;;
CK-59178;Kit de Caliper Ford Fairlane, Mustang, Falcon, Dodge D-300 80;1 Rueda;"2 3/8""mm";;;1,80;4,00;4,50;KIT DE CALIPER IMPORTADO;;
CK-701510;Kit de Caliper Chevrolet GMC Truck C50/60/70 Series ;1 Rueda;"2 29/32""";;;6,00;13,33;15,00;KIT DE CALIPER IMPORTADO;;
KT-7157;Kit De Reparación De Cáliper Ruedas Traseras Toyota Explosion Past. 7157;1 Rueda;36mm;;;5,00;11,11;12,50;KIT DE CALIPER IMPORTADO;;
CK-83297;Kit de Caliper Chevrolet C-30 74/97.;1 Rueda;"3 3/8""mm";;;3,00;6,67;7,50;KIT DE CALIPER IMPORTADO;;
